PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_LP_SAEB,ERRO_PADRAO_MT_SAEB,INSE_ALUNO,ID_SERIE,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,IN_PUBLICA,ID_LOCALIZACAO,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q04,TX_RESP_Q12b,TX_RESP_Q13b,TX_RESP_Q12f
265.865762,261.392853,20.726288,30.545604,6.18,12,4,42,6326709,2,1,1,B,C,C,B,B,C
,,,,,12,3,35,6325545,2,1,1,.,.,.,.,.,.
253.375931,244.826423,17.95377,42.77138,5.49,12,3,35,6325775,2,1,1,B,C,B,C,B,A
233.261345,210.866692,22.332921,43.687735,5.47,12,3,31,6324479,1,1,1,B,C,C,B,B,B
,,,,,12,2,29,6324164,2,1,1,.,.,.,.,.,.
212.241354,212.90855,26.187804,35.210937,4.56,12,3,35,6325648,2,1,1,B,C,B,A,B,A
277.889888,237.634589,20.742155,32.445105,4.52,12,2,23,6323193,2,1,1,B,B,C,A,B,B
,,,,,12,3,35,6325982,2,1,1,.,.,.,.,.,.
306.364122,303.787798,20.881982,24.713128,5.56,12,5,52,6327658,2,1,1,B,B,A,B,B,C
,,,,,12,4,43,6326961,2,1,1,.,.,.,.,.,.
,,,,,12,3,35,6325999,1,1,1,.,.,.,.,.,.
250.265966,286.857398,25.802536,27.162106,3.32,12,2,26,6323783,2,1,1,B,C,A,A,A,A
,,,,,12,3,35,6325999,1,1,1,.,.,.,.,.,.
231.944007,251.837389,25.450324,28.377429,5.08,12,3,31,6324728,2,1,1,B,B,C,A,B,A
310.848115,310.218323,19.092164,27.275456,5.86,13,4,41,6326356,2,1,1,A,B,A,A,B,B
,,,,,12,3,35,6326021,2,1,1,.,.,.,.,.,.
320.800346,274.925336,19.231165,35.320598,4.23,12,3,33,6325412,1,1,1,B,B,A,B,B,A
202.379421,234.991888,32.679179,39.302032,5.05,12,3,33,6325412,1,1,1,B,C,C,*,A,B
325.133824,278.748147,21.322178,24.967662,5.18,12,3,35,6326021,2,1,1,A,C,C,B,B,A
277.633098,276.565776,22.856308,27.171608,5.13,12,3,35,6325742,2,1,1,B,B,C,A,B,C
249.816239,268.498389,19.019716,31.203401,5.51,12,4,42,6326558,2,1,1,A,B,C,C,B,B
246.575703,263.745026,21.678412,31.793736,5.79,12,3,35,6326021,2,1,1,.,B,A,C,B,B
235.062126,248.823619,21.841103,34.239864,,12,3,35,6325692,2,1,1,.,.,.,.,.,.
311.495738,337.886143,19.38504,17.977879,,12,3,35,6325455,2,1,1,A,C,A,.,.,.
300.42357,307.248707,18.433578,30.776384,,12,5,52,6327572,2,1,1,.,.,.,.,.,.
213.463379,260.999203,27.187748,35.583851,5.92,12,3,33,6325412,1,1,1,B,F,A,B,B,B
333.118946,301.564178,19.89493,25.848301,4.4,12,2,22,6323000,2,1,1,B,C,B,A,B,B
285.707912,261.859777,18.784082,40.253655,4.34,12,3,35,6325624,2,1,1,B,B,B,B,B,B
,,,,,12,3,35,6325999,1,1,1,.,.,.,.,.,.
273.468095,219.73658,18.56134,37.508838,5.15,12,1,13,6322281,1,1,1,B,D,C,D,B,A
,,,,,12,2,21,6322646,2,1,1,.,.,.,.,.,.
293.990097,220.262639,18.363444,36.135061,,12,1,13,6322281,1,1,1,B,C,B,.,.,.
348.755049,280.028752,22.592411,28.17454,5.82,12,3,35,6325742,2,1,1,A,C,C,B,B,B
161.020118,256.780115,33.954095,39.405321,5.43,12,2,25,6323610,2,1,1,A,B,D,A,B,B
254.242385,257.880859,24.257608,32.673705,5.83,12,3,35,6326020,2,1,1,A,C,C,B,B,B
,,,,,13,3,31,6324450,2,1,2,.,.,.,.,.,.
358.505031,320.364289,23.246093,19.73273,4.28,12,2,27,6323866,1,1,1,A,B,B,A,B,A
,,,,,12,2,23,6323119,1,1,1,.,.,.,.,.,.
379.09612,301.351452,25.68089,26.300079,5.52,12,4,43,6326855,2,1,1,A,B,C,B,B,B
,,,,,12,3,33,6325372,2,1,1,.,.,.,.,.,.
,,,,,12,3,35,6325809,2,1,1,.,.,.,.,.,.
205.01663,236.224426,29.828428,30.648055,5.28,12,4,42,6326484,2,1,1,A,C,A,A,B,B
298.298729,337.374952,18.902312,18.256446,,13,3,35,6325815,2,1,1,B,B,C,.,.,.
,,,,,12,3,35,6325739,2,1,1,.,.,.,.,.,.
,,,,,13,2,24,6323333,1,1,1,.,.,.,.,.,.
315.640963,279.007041,20.820498,32.041339,4.55,12,3,33,6325436,2,1,1,A,C,C,A,B,A
290.425502,226.987157,17.357935,41.86123,6.09,12,3,33,6325412,1,1,1,B,C,A,C,A,B
